,Continent,Country,Location,Coordinates,Operational date,Number of rocket launches,Heaviest rocket launched,Highest achieved altitude,Notes,html_link
0,Asia, India,"Abdul Kalam Island, Bhadrak District, Odisha",20.75804; 87.085533,1980–, ,Sub-Orbital ,Military integrated testing range for advanced guided missiles.[14],no notes found,
0,Asia, Indonesia,"LAPAN Rocket Launcher Station, Pameungpeuk, Garut",-7.646643; 107.689018,1965–,765 kg  ,100 km  ,,no notes found,
0,Asia, Iran,Qom Space Center,34.65000; 50.90000,1991, , ,Military testing[15],no notes found,
0,Asia, Iran,Shahroud Space Center,36.42000; 55.02000,1998–, ,Orbital ,Military tests and missile sounding for ISA Under the control of IRGCASF[16],no notes found,
0,Asia, Iran,Semnan spaceport,35.234631; 53.920941,2009–, ,Orbital  ,,no notes found,
0,Asia, Iraq,Al-Anbar Test Center,32.78220; 44.29962,1989,"48,000 kg  ", ,"Out of function[17]
Al-Abid",no notes found,
0,Asia, Israel,Palmachim Air Force Base,31.88484; 34.68020,1987–,70000 kg  ,Orbital  ,[18],no notes found,
0,Asia, Japan,Akita Rocket Range,39.57148; 140.05785,1956–1990, ,343 km,,no notes found,
0,Asia, Japan,Uchinoura Space Center,31.25186; 131.07914,1962–,"139,000 kg",Interplanetary  ,[19],no notes found,
0,Asia, Japan,"Taiki Multi-Purpose Aerospace Park, Taiki, Hokkaido",42.3000; 143.2629,2010–,"1,000 kg",115 km,Suborbital and future orbital launch site for Interstellar Technologies and Space Walker [ja],no notes found,
0,Asia, Japan,"Tanegashima Space Center, Tanegashima Island",30.39096; 130.96813,1967–,"445,000 kg",Interplanetary  ,[20],no notes found,
0,Asia, Japan,"Spaceport Kii, Kushimoto, Wakayama Prefecture",33.550833; 135.879722,2024–,,Orbital,Orbital launch site for Space One[21],no notes found,
0,Asia, Japan,Ryori[22],39.03000; 141.83000,1970–2001, , ,Sounding rocket launch site for the Japan Meteorological Agency,no notes found,
0,Asia, Japan,Niijima [ja],34.33766; 139.26575,1963–1965, , ,Eighteen launches of small rockets[23][24],no notes found,
0,Asia, Japan,Obachi[25],40.70342; 141.36938,1961–, ,105 km,balloon-launched Kappa sounding rockets[25],no notes found,
0,Asia," Soviet Union/ Kazakhstan
(Operated by  Russia) ","Baikonur Cosmodrome, Tyuratam",45.95515; 63.35028,1955–,"2,400,000 kg",Interplanetary  ,"First satellite, first human in space. Operated by Russia.[26]",no notes found,
0,Asia," Soviet Union/ Kazakhstan
(Partly operated by  Russia)",Sary Shagan[citation needed],46.38000; 72.87000,1958–, , ,Military testing ground for anti-missile weapons. Part of the testing ground is rented by Russian Ministry of Defense.,no notes found,
0,Asia, North Korea,Tonghae Satellite Launching Ground,40.85572; 129.66587,1998–, , ,Military rockets; satellite launch[27],no notes found,
0,Asia, North Korea,Sohae Satellite Launching Station,39.660; 124.705,2012–, , ,Military rockets; satellite launch[28],no notes found,
0,Asia, South Korea,Anheung Proving Ground,36.70211; 126.47158,1993–, , ,,no notes found,
0,Asia, South Korea,"Naro Space Center, Goheung",34.42585; 127.52793,2008–,"200,000 kg ",Orbital  ,Attempted satellite launches[29],no notes found,
0,Asia, Maldives,Gan Island,-0.69328; 73.15672,, , ,Several rockets of the Kookaburra type were launched from a pad at 0°41' S and 73°9' E[30],no notes found,
0,Asia, Pakistan,"Sonmiani Satellite Launch Center, Las Bela, Balochistan",25.19242; 66.74881,1960s–[31], , ,Sounding rockets & missile testing for SUPARCO[32],no notes found,
0,Asia, Soviet Union,Kheysa,80.45000; 58.05000,1956–2008, , ,Arctic sounding rocket launch site,no notes found,
0,Asia, Soviet Union/  Russia,"Svobodny Cosmodrome, Amur Oblast",51.83441; 128.27570,1957–2007,"47,000 kg  ",Orbital  ,ICBM base converted for satellites[33],no notes found,
0,Asia, Soviet Union,Sovetskaya Gavan,48.97000; 140.30000,1963–1964, ,402 km,,no notes found,
0,Asia, Soviet Union/  Russia,Okhotsk[citation needed],59.367; 143.250,1981–2005, ,1000 km,,no notes found,
0,Asia, Russia,"Yasny Cosmodrome (formerly Dombarovsky), Orenburg Oblast",51.20706; 59.85003,2006–,"211,000 kg",Orbital  ,ICBM base converted for satellites[34],no notes found,
